ID,PaperID,Authors
545,1732575,'Patrick O. Slane'
546,1732575, 'David Helfand\nColumbia University'
547,1732575, 'Stephen S. Murray\nHarvard-Smithsonian Center for Astrophysics'
548,1732576,'Ø Elgarøy'
549,1732576, 'O Lahav'
550,1732576, 'W J Percival'
551,1732576, 'Joe Peacock\nBBHC'
552,1732577,'Michiel Kregel\nDiagnoptics'
553,1732577, 'Pieter C. van der Kruit'
554,1732577, 'Richard de Grijs\nMacquarie University'
555,1732578,'B. Burgh'
556,1732578, 'Stephan Mccandliss\nJohns Hopkins University'
557,1732578, 'Paul D. Feldman\nJohns Hopkins University'
558,1732579,'Noam Soker\nTechnion - Israel Institute of Technology'
559,1732580,'Letizia Stanghellini'
560,1732580, 'Richard Allen Shaw'
561,1732580, 'Max Mutchler'
562,1732580, 'Stacy Palen'
563,1732580, 'Bruce Balick'
564,1732580, 'J. Chris Blades'
565,1732581,'Jeremy J. Drake'
566,1732581, 'Herman L. Marshall'
567,1732581, 'Stefan Dreizler\nGeorg-August-Universität Göttingen'
568,1732581, 'Peter Freeman\nCarnegie Mellon University'
569,1732582,'Thomas J. Maccarone'
570,1732582, 'Paolo S. Coppi'
571,1732583,'Jian Hu'
572,1732584,'N. Menci'
573,1732584, 'Alfonso G. Cavaliere\nNational Institute of Astrophysics'
574,1732585,'Tsafrir Kolatt'
575,1732585, 'James S Bullock'
576,1732585, 'Rachel S. Somerville'
577,1732585, 'Yair Sigad'
578,1732585, 'Patrik Jonsson'
579,1732585, 'Andrey V. Kravtsov'
580,1732585, 'Anatoly Klypin'
581,1732585, 'Joel Primack'
582,1732585, 'Sabien Faber'
583,1732585, 'Avishai Dekel'
584,1732586,'C. Sauty\nObservatoire de Paris'
585,1732586, 'K. Tsinganos'
586,1732586, 'E. Trussoni'
587,1732588,'Robert W. Johnson\nAlphawave Research'
588,1732589,'Antonio Pipino'
589,1732589, 'Francesca Matteucci\nUniversity of Trieste'
590,1732589, 'Stefano Borgani'
591,1732589, 'Andrea Biviano'
592,1732590,'Gordon T. Richards'
593,1732590, 'Daniel E. Vanden Berk'
594,1732590, 'Timothy A. Reichard'
595,1732590, 'Patrick B. Hall'
596,1732591,'Roland Jesseit\nLudwig-Maximilians-University of Munich'
597,1732591, 'Thorsten Naab'
598,1732591, 'Andreas Burkert\nLudwig-Maximilians-University of Munich'
599,1732592,'Massimo Marengo'
600,1732592, 'M. Karovska\nHarvard University'
601,1732592, 'Zeljko Ivezic\nUniversity of Washington Seattle'
602,1732593,'NA Levenson'
603,1732593, 'James R. Graham'
604,1732593, 'Julie L. Walters'
605,1732594,'Bulent Uyaniker'
606,1732594, 'Roland Kothes\nNational Research Council Canada'
607,1732595,'Makoto Sasaki'
608,1732595, 'Yoichi Asaoka'
609,1732595, 'Masashi Jobashi'
610,1732596,'M. Marengo'
611,1732596, 'M. Karovska\nHarvard University'
612,1732596, 'Dimitar Sasselov\nHarvard University'
613,1732596, 'C. Papaliolios'
614,1732597,'Yun Wang\nCalifornia Institute of Technology'
615,1732597, 'Daniel E. Holz'
616,1732597, 'Dipak Munshi\nUniversity of Sussex'
617,1732598,'Tiberiu Harko\nUniversity College London'
618,1732598, 'K. S. Cheng'
619,1732599,'Tohru Nagao'
620,1732599, 'Takashi Murayama'
621,1732599, 'Yasuhiro Shioya'
622,1732599, 'Yoshiaki Taniguchi'
623,1732600,'Raymond E. White Iii\nUniversity of Alabama'
624,1732600, 'Craig L. Sarazin\nUniversity of Virginia'
